month,active_users,peak_concurrent,tier,cloud_fixed_usd,cloud_variable_usd,cloud_total_usd,cost_per_user_usd
2025-01,135000,4050,0,1733760,294739,2028499,15.03
2025-02,150000,4500,0,1747630,297097,2044727,13.63
2025-03,170000,5100,0,1761611,299474,2061085,12.12
2025-04,195000,5850,0,1775704,301870,2077574,10.65
2025-05,230000,6900,0,1789910,304285,2094195,9.11
2025-06,280000,8400,0,1804229,306719,2110948,7.54
2025-07,360000,10800,0,1818663,309173,2127836,5.91
2025-08,500000,15000,0,1833212,311646,2144858,4.29
2025-09,750000,22500,0,1847878,314139,2162017,2.88
2025-10,1200000,36000,0,1862661,316652,2179313,1.82
2025-11,1900000,57000,1,2838175,482490,3320665,1.75
2025-12,2900000,87000,1,2860881,486350,3347231,1.15
2026-01,4100000,123000,2,4658394,791927,5450321,1.33
2026-02,5400000,162000,2,4695661,798262,5493923,1.02
2026-03,6700000,201000,2,4733226,804648,5537874,0.83
2026-04,8000000,240000,2,4771092,811086,5582178,0.7
2026-05,9200000,276000,2,4809261,817574,5626835,0.61
2026-06,10300000,309000,3,8656670,1471634,10128304,0.98
2026-07,11300000,339000,3,8725923,1483407,10209330,0.9
2026-08,12200000,366000,3,8795730,1495274,10291004,0.84
2026-09,13000000,390000,3,8866096,1507236,10373332,0.8
2026-10,13800000,414000,3,8937025,1519294,10456319,0.76
2026-11,14400000,432000,3,9008521,1531449,10539970,0.73
2026-12,15000000,450000,3,9080589,1543700,10624289,0.71
