month,leads,active_users,revenue_usd,cloud_fixed_usd,cloud_variable_usd,cloud_total_usd
2023-07,420,52000,514572,1720000,295000,2015000
2023-08,180,58000,519126,1705000,288000,1993000
2023-09,760,66000,637877,1738000,304000,2042000
2023-10,540,71000,660212,1712000,291000,2003000
2023-11,300,74000,702028,1729000,299000,2028000
2023-12,220,76000,665559,1698000,284000,1982000
2024-01,910,81000,771197,1742000,308000,2050000
2024-02,650,88000,797717,1715000,293000,2008000
2024-03,340,94000,903710,1731000,301000,2032000
2024-04,1050,97000,881458,1707000,287000,1994000
2024-05,480,99000,908617,1736000,306000,2042000
2024-06,270,104000,980430,1720000,296000,2016000
2024-07,1180,112000,1018236,1711000,290000,2001000
2024-08,560,118000,1088727,1739000,305000,2044000
2024-09,250,121000,1130607,1704000,286000,1990000
2024-10,200,123000,1100821,1726000,300000,2026000
2024-11,700,127000,1161855,1714000,292000,2006000
2024-12,390,134000,1218134,1733000,303000,2036000
